"","ID_geo","Inclination","Parallel_width_shaft","Perpendicular_width_shaft","Width_before_shaft","Max_width","Distance_tip_to_shaft","Area_under_curve","Max_force","Displacement_at_max_force","PC1","PC2"
"1",1,"Distal/Proximal",7.3,7.3,1.8,9.9,11.9,0.3438,2.68,27.74,0.00412264323842311,0.0277106598523252
"2",2,"Distal/Proximal",7.6,8.5,2.1,12,11.4,0.4626,3.56,29.97,-0.00942451312688691,-0.0852214043906165
"3",3,"Distal",6,5.7,1.3,10.8,7.2,0.4207,2.31,24.06,-0.28814810436836,-0.31824613174733
"4",4,"Distal",7.4,7.2,2.8,11,6.5,0.4107,2.29,26.91,-0.265553071239881,-0.370290893796455
"5",5,"Distal",6.5,6.1,1.8,8.5,12.2,0.2761,1.85,23.87,-0.408829266796194,0.024164527185868
"6",6,"Distal",6,7.2,1.5,7.6,9.2,0.2984,1.91,22.16,-0.296592342980955,-0.00162613654104045
"7",7,"Horizontal",7.6,7.4,4.1,20.7,10.9,0.8574,3.79,29.73,0.058107857965594,-0.358907520608318
"8",8,"Horizontal",7.8,6.3,3.8,18.4,7.9,0.8317,3.79,22.24,-0.0862598909817973,-0.351706446562721
"9",9,"Horizontal",6.4,6.9,2.2,4.8,6.5,0.831,3.63,19.31,0.22414802907779,-0.140219218004655
"10",10,"Horizontal",7.4,5.9,3.5,17.3,5.1,0.8155,3.68,19.13,-0.0450997876159503,-0.238173547757098
"11",11,"Distal/Proximal",6.4,5.8,2.2,10.8,7.7,0.4425,2.52,21.01,0.102884768134721,-0.200846028085957
"12",12,"Distal/Proximal",6.4,5.9,1.8,12.6,6.6,0.4391,2.34,17.24,0.369782898721274,-0.122750859921292
"13",13,"Distal",8.2,5.5,2.3,9.3,13.1,0.3901,2.77,26.09,0.069760245160709,0.203048389048314
"14",14,"Distal",7.9,6.2,1.8,11.4,13.5,0.3504,2.7,29.36,0.010859129026196,0.200269281142144
"15",15,"Proximal",6.2,5.7,3.1,9.4,9.8,0.3557,2.17,27.51,0.487945925312804,0.23222581381177
"16",16,"Proximal",5.5,5.4,2.5,9.5,7.8,0.3784,2.27,22.21,0.471587846080534,0.164852965128473
"17",17,"Distal/Proximal",7.4,5.8,2.9,10.2,10.9,0.3844,2.45,27.86,-0.0447159628800378,0.0486945854182396
"18",18,"Distal/Proximal",7.1,7.6,2.5,11.1,15.7,0.3045,2.57,29.98,-0.0680925215076078,0.0556349454562656
"19",19,"Distal/Proximal",6.6,5.9,2,9.2,9.4,0.2886,1.71,22.23,0.150551941531481,0.058447568828444
"20",20,"Distal/Proximal",5.7,5.9,1.3,9.5,7.8,0.326,1.96,20.66,0.23488413407196,-0.0798741593442882
"21",21,"Distal/Proximal",6,6.4,2.5,8.2,15.1,0.2144,1.77,24.19,-0.296967425741616,0.36675992578685
"22",22,"Distal/Proximal",6.2,6.2,2.3,8.2,15.6,0.2657,2.24,30,-0.173504150033677,0.357819838154217
"23",23,"Distal/Proximal",8,5.5,2.1,7.6,13.5,0.344,2.55,28.47,-0.141213296269724,0.265108404924865
"24",24,"Distal/Proximal",7.9,7,2.9,10.1,13.1,0.3709,2.97,26.84,-0.321033431607639,0.124427024097911
"25",25,"Distal/Proximal",7.2,5.5,2.1,12.6,8.1,0.4358,2.4,24.06,0.241090056634745,-0.112530348785623
"26",26,"Distal/Proximal",6.2,5.7,2,10,8,0.3075,1.94,20.47,0.227598117699795,0.0115150721294553
"27",27,"Distal",7.5,5.8,1.6,8.8,15.3,0.2479,2.2,29.99,-0.227737741010686,0.188701807438851
"28",28,"Distal",7.2,5.8,2.5,7.8,13.8,0.2505,1.93,26.69,0.060636075422765,0.218718475546548
"29",29,"Distal/Proximal",6.8,8.2,1.3,8.2,6.6,0.2958,1.92,15.96,-0.0407881619177776,-0.16770658840515
"30",1,"Distal/Proximal",6.2,5.6,1.1,11.6,8.5,0.3786,2.45,29.59,0.00412264323842311,0.0277106598523252
"31",2,"Distal/Proximal",6.9,5.8,1.8,12.9,8.6,0.3718,2.21,24.19,-0.00942451312688691,-0.0852214043906165
"32",3,"Proximal",6,5.8,1.5,12.1,6.7,0.3395,1.91,20.19,-0.28814810436836,-0.31824613174733
"33",4,"Proximal",6.3,6,3,14.9,4.6,0.3818,2.01,16.48,-0.265553071239881,-0.370290893796455
"34",5,"Proximal",5.6,5.5,1.9,10.5,4.7,0.4905,2.74,20.39,-0.408829266796194,0.024164527185868
"35",6,"Proximal",5.8,5.9,1.7,9.1,4.5,0.3605,1.99,15.26,-0.296592342980955,-0.00162613654104045
"36",7,"Distal/Proximal",8.4,7.6,4.3,21.3,12,0.4294,3.67,29.99,0.058107857965594,-0.358907520608318
"37",8,"Distal/Proximal",7.4,6.6,3.5,18.8,6.9,0.6059,3.93,26.86,-0.0862598909817973,-0.351706446562721
"38",9,"Distal/Proximal",8.3,5.8,2.3,13.3,10.6,0.4423,2.84,30,0.22414802907779,-0.140219218004655
"39",10,"Distal/Proximal",6.1,6,3.1,12.6,9.2,0.4687,3.15,22.49,-0.0450997876159503,-0.238173547757098
"40",11,"Distal/Proximal",6.2,5.8,2.3,11.1,6.4,0.372,2.11,23.29,0.102884768134721,-0.200846028085957
"41",12,"Distal/Proximal",5.7,6,2.2,10.8,6.6,0.3131,1.91,19.89,0.369782898721274,-0.122750859921292
"42",13,"Proximal",6.3,5.5,2.1,9.1,10.4,0.3807,2.33,25.18,0.069760245160709,0.203048389048314
"43",14,"Proximal",6.9,5.9,2.4,10.9,7.6,0.4432,2.57,23.07,0.010859129026196,0.200269281142144
"44",15,"Distal",6.2,5.7,2.4,11.7,10.4,0.3319,2.44,25.87,0.487945925312804,0.23222581381177
"45",16,"Distal",6.3,5.8,2,9.7,8.2,0.3137,2.03,22.43,0.471587846080534,0.164852965128473
"46",17,"Distal/Proximal",6.8,5.7,2.5,10.1,7.2,0.4285,2.48,22.69,-0.0447159628800378,0.0486945854182396
"47",18,"Distal/Proximal",7.6,5.9,2.8,13.4,12.4,0.3512,2.33,29.97,-0.0680925215076078,0.0556349454562656
"48",19,"Distal/Proximal",6.2,5.6,1.5,9.4,6.6,0.3063,2.13,21.44,0.150551941531481,0.058447568828444
"49",20,"Distal/Proximal",5.2,5.6,1.2,9.3,8.2,0.2796,1.74,16.01,0.23488413407196,-0.0798741593442882
"50",21,"Distal/Proximal",5.6,6.3,1.9,7.9,12.8,0.2811,1.85,23.95,-0.296967425741616,0.36675992578685
"51",22,"Distal/Proximal",6.6,5.8,2.4,9.9,9.8,0.3128,2.14,21.61,-0.173504150033677,0.357819838154217
"52",23,"Distal/Proximal",7.8,5.6,2.4,10.4,8.7,0.445,2.66,25.13,-0.141213296269724,0.265108404924865
"53",24,"Distal/Proximal",8.1,5.3,3.2,11.2,9,0.5012,3.3,26.46,-0.321033431607639,0.124427024097911
"54",25,"Distal/Proximal",6.2,5.7,1.6,10.2,8,0.4562,2.84,21.53,0.241090056634745,-0.112530348785623
"55",26,"Distal/Proximal",5.7,5.8,1.8,11.4,8.9,0.3276,2.21,20.09,0.227598117699795,0.0115150721294553
"56",27,"Proximal",6.4,5.9,1.7,13.9,8.1,0.3514,2.14,20.7,-0.227737741010686,0.188701807438851
"57",28,"Proximal",6.7,5.8,1.8,13.3,9.9,0.4033,2.31,24.19,0.060636075422765,0.218718475546548
"58",29,"Distal/Proximal",5.8,5.7,1.5,9.7,6.1,0.3362,1.86,19.58,-0.0407881619177776,-0.16770658840515
"59",1,"Horizontal",5,6.3,1.7,20.1,3.7,0.7543,3.38,20.66,0.00412264323842311,0.0277106598523252
"60",2,"Horizontal",6.3,5.6,1.4,19.5,4.5,0.7628,3.4,23.94,-0.00942451312688691,-0.0852214043906165
"61",3,"Horizontal",5.2,5.8,1.4,12.6,4.7,0.4958,2.35,20.48,-0.28814810436836,-0.31824613174733
"62",4,"Horizontal",7.1,6.3,1.9,13,6.7,0.4935,2.53,17.71,-0.265553071239881,-0.370290893796455
"63",5,"Horizontal",5.9,5.3,1.1,17.4,3.2,0.6631,3.46,16.58,-0.408829266796194,0.024164527185868
"64",6,"Horizontal",5.8,6,0.8,13.1,3.8,0.5248,2.8,18.77,-0.296592342980955,-0.00162613654104045
"65",7,"Distal/Proximal",8,6,3.8,20.7,11.6,0.4595,3.58,27.27,0.058107857965594,-0.358907520608318
"66",8,"Distal/Proximal",9.1,6.5,2.2,19.6,6.9,0.6146,3.76,23.45,-0.0862598909817973,-0.351706446562721
"67",9,"Distal/Proximal",7,5.9,2.8,12,9,0.3518,2.07,19.02,0.22414802907779,-0.140219218004655
"68",10,"Distal/Proximal",8.2,6.6,2.5,14.7,9.6,0.4372,3.07,25.24,-0.0450997876159503,-0.238173547757098
"69",11,"Horizontal",6.2,5.9,1.5,14.5,5.3,0.5549,2.87,19.61,0.102884768134721,-0.200846028085957
"70",12,"Horizontal",6.1,7.1,1.3,14.6,4.1,0.5013,2.44,15.94,0.369782898721274,-0.122750859921292
"71",13,"Horizontal",6.4,6.1,1,22.3,5.9,0.8803,4.41,21.82,0.069760245160709,0.203048389048314
"72",14,"Horizontal",6.7,6.4,1,23.9,4.1,0.8495,4.19,19.6,0.010859129026196,0.200269281142144
"73",15,"Horizontal",6.4,5.6,1.1,22.4,2.7,0.8943,4.25,17.56,0.487945925312804,0.23222581381177
"74",16,"Horizontal",6.2,6,1.3,20,4.3,0.8021,3.71,19.41,0.471587846080534,0.164852965128473
"75",17,"Horizontal",6.9,6.3,1.9,19.7,5.6,0.7233,3.34,19.47,-0.0447159628800378,0.0486945854182396
"76",18,"Horizontal",7,5.8,1.9,22.6,5.8,0.7812,3.67,18.4,-0.0680925215076078,0.0556349454562656
"77",19,"Horizontal",5.2,5.7,1.2,16.3,4.4,0.5308,2.57,18.16,0.150551941531481,0.058447568828444
"78",20,"Horizontal",5.4,6.1,1.1,15.1,4.8,0.5192,2.43,16.12,0.23488413407196,-0.0798741593442882
"79",21,"Horizontal",5.2,6.1,1,25.5,3.6,0.9445,4.24,20.19,-0.296967425741616,0.36675992578685
"80",22,"Horizontal",6.6,6.2,1.2,27.2,4.3,0.9599,4.54,20.24,-0.173504150033677,0.357819838154217
"81",23,"Horizontal",6.7,5.6,1.6,22.8,2.4,0.9532,4.52,20.14,-0.141213296269724,0.265108404924865
"82",24,"Horizontal",7.2,5.6,2.4,22.7,3.6,0.9877,4.36,19.39,-0.321033431607639,0.124427024097911
"83",25,"Horizontal",5.7,5.9,2.1,17.5,5.7,0.614,2.83,14.77,0.241090056634745,-0.112530348785623
"84",26,"Horizontal",5.7,5.8,1.5,17.8,4.4,0.6268,3.13,12.11,0.227598117699795,0.0115150721294553
"85",27,"Horizontal",5.8,6.3,1.2,22.3,3.7,0.8037,3.67,15.29,-0.227737741010686,0.188701807438851
"86",28,"Horizontal",6.4,5.8,1.2,23.8,3.1,0.9934,4.53,21.56,0.060636075422765,0.218718475546548
"87",29,"Horizontal",6.4,5.8,1.5,12.8,4.9,0.4899,2.65,16.37,-0.0407881619177776,-0.16770658840515
